education_years,income_level,employment_status,children_count,workshop_invitation,workshop_attendance,productivity_score
4,0,0,1,13,0,48.35233219481567
6,0,1,1,11,1,50.397103378998246
6,2,0,1,12,1,46.20676827805259
6,2,1,1,11,0,45.013025230037286
7,0,1,1,12,0,45.71855119351925
6,1,0,0,10,0,44.32625840620067
5,1,0,0,12,1,48.80096656884125
7,1,1,1,9,0,46.2527761440843
3,0,1,0,12,1,52.48435261051803
4,1,0,0,17,1,50.45723169347296
6,0,0,0,8,0,47.6796577220322
8,1,0,0,12,1,46.23076283528667
5,1,1,1,8,0,47.50592627571808
8,0,0,0,10,0,44.56729280802354
4,1,0,1,11,1,47.43625796323023
4,0,0,0,9,0,47.65608395344153
7,1,0,0,15,0,44.3063935826181
2,2,0,0,12,0,48.90566714923452
7,1,0,0,11,1,46.978700253750105
7,1,0,0,11,1,47.21435951527491
5,0,1,1,10,0,49.74789485555368
5,1,0,0,14,1,50.25032910848301
5,1,0,0,9,0,46.41127379625766
7,0,0,0,10,0,43.6824966289476
5,1,1,0,11,0,46.20792176231694
2,0,0,0,9,0,49.68441725406702
4,1,0,0,12,1,49.59070590658694
6,0,0,0,12,1,47.93835980592701
9,0,0,0,10,0,44.05766249436228
6,0,1,1,12,0,48.24761593572842
4,0,0,1,12,1,51.43832339411152
9,0,0,0,12,0,44.321130129717965
5,0,1,0,14,1,51.38003436179255
2,0,0,1,12,0,50.81640727197843
4,1,0,0,8,0,48.25602132365636
6,0,0,0,8,0,47.22046811612932
8,0,1,1,12,0,46.86458223779783
4,1,1,0,14,0,47.24256493442073
5,1,0,1,12,1,49.9482207167585
7,1,0,0,9,0,45.1862349050527
6,1,0,0,13,1,48.14360972321207
6,2,0,0,10,0,43.468570751730034
7,1,0,0,13,1,47.63093357401085
6,2,0,1,10,0,45.44551151491239
6,0,1,0,12,0,48.42526606928693
4,1,1,1,10,0,49.05456986213336
5,0,0,1,13,0,47.62225843898936
6,0,0,0,13,0,46.55554241421237
5,1,0,1,9,0,48.03556826844999
7,0,0,0,16,1,49.240511273881744
4,1,1,0,12,0,46.06062713549036
7,0,0,1,15,1,47.37185031025709
6,0,0,0,7,0,45.23401275249502
4,0,1,0,12,0,47.421035681963616
2,1,0,1,10,0,47.10788628742199
9,2,1,0,11,1,46.578416089390245
2,1,1,0,12,1,53.92247698677875
5,0,0,1,14,1,49.62338682981695
7,1,0,0,15,1,47.761645584881926
7,0,1,0,12,0,45.78298708909915
6,1,0,0,16,1,46.61400865348127
5,0,0,0,11,1,50.727403935202965
5,2,0,1,9,0,46.41905897845238
4,2,0,0,12,0,43.65822071940549
7,2,1,0,13,1,46.82135237237685
6,0,1,0,13,1,51.00995820450125
5,0,0,0,12,1,48.447153758932494
10,1,1,1,11,0,44.75302893927689
3,1,0,0,11,0,46.96051895438484
9,1,0,1,11,1,46.62430454450214
5,0,1,0,8,0,47.14365651741755
8,0,0,0,11,0,45.35326626678855
5,1,0,1,10,1,48.214515624175135
7,0,1,1,9,0,49.016763770965945
6,1,0,0,10,0,45.84327341229964
3,0,1,0,11,0,50.48298552556622
4,1,0,0,12,1,50.33238492981376
6,1,0,0,12,0,47.33712344311695
4,1,1,0,13,1,48.79690509387812
4,0,0,1,14,1,50.5345087264534
10,2,0,0,12,1,44.36850639947359
7,1,0,1,9,0,42.50297653358211
5,0,1,0,10,1,51.09597727682372
3,1,1,0,10,0,46.40054585951184
6,1,0,1,8,0,44.226296276223614
6,0,0,0,13,1,48.6366394430092
3,0,1,0,12,0,50.638622693251634
4,1,0,0,13,0,45.94234826989775
3,1,0,0,9,1,48.256078624634505
4,0,0,1,11,1,50.70498471581859
5,0,1,1,11,0,49.40699355016874
5,1,1,0,13,0,47.51131570002477
3,1,0,0,11,1,51.11952666931087
5,0,0,1,13,1,50.35026491727184
3,0,0,0,13,1,51.25295766918649
6,0,1,0,10,0,46.228300003586135
5,0,1,0,10,0,48.23491625258429
5,1,0,0,14,1,48.042276669383824
6,0,0,0,10,1,49.83155843074394
7,0,0,1,11,1,47.57801394697665
5,0,0,1,12,1,50.7241783724068
6,2,0,0,14,1,48.14234349425895
7,2,0,1,12,1,46.75285258384829
5,0,1,0,12,0,50.759396050454
7,1,0,0,16,1,46.23685150974053
8,0,1,1,13,1,47.91811395169432
7,1,0,0,13,1,46.41655957045278
6,0,0,0,13,1,50.682129566303885
5,1,1,0,13,1,47.395920680272994
6,0,0,1,12,1,50.830899031191656
6,1,0,1,9,1,45.26934348635183
5,0,1,0,9,1,49.79969243904709
7,0,1,1,11,0,47.098152213342416
4,0,0,0,13,1,50.288067759048296
5,0,0,0,9,1,51.04229374630303
7,0,0,1,13,1,48.88703886638719
4,0,1,1,10,0,48.95786720110494
8,0,0,0,10,0,47.07326029489208
7,1,1,0,10,0,46.22021310756644
1,1,0,0,12,1,52.03712213053282
2,0,1,0,8,0,50.03571317278018
6,0,1,0,14,1,49.66337654703376
6,0,0,0,14,1,48.23225021175501
5,0,0,0,10,0,48.16263094063258
6,0,1,0,10,0,46.84128323824357
4,0,1,1,11,0,47.41294541220572
8,0,0,1,12,1,49.27734189850048
5,0,1,0,11,0,48.840339480105655
1,0,1,0,12,0,49.22569597388006
6,1,1,1,10,1,50.27300301167113
3,0,0,0,9,0,49.29989648743737
6,1,1,1,12,1,49.52658214629501
7,0,0,1,9,1,49.08294173838595
4,0,0,0,13,0,47.37236325767079
8,2,1,0,9,0,45.49834490293021
4,0,0,0,9,0,47.2726967129248
5,0,0,1,12,1,50.93420802096629
7,0,0,0,11,1,47.850784125471776
6,2,1,0,10,1,48.11104348228226
8,2,1,0,14,0,43.03150095439423
5,1,0,1,12,0,48.304863228925946
4,0,0,0,7,0,47.08356320961413
7,0,0,0,12,1,49.24476007342204
3,1,1,1,12,1,50.89170279419556
8,1,1,0,11,0,44.2202432473041
9,0,0,0,10,1,47.46822620311183
7,1,0,0,7,0,45.59422898305843
6,1,0,0,11,1,49.05719374901297
7,0,0,1,12,1,48.54931633591374
5,0,1,0,13,1,49.54251844108194
7,0,0,0,15,1,49.02605106133872
4,1,0,1,10,0,47.80255826583261
3,1,0,0,13,1,50.40245612095431
5,1,0,0,11,0,45.76212768766814
6,1,0,1,11,1,47.97936057398864
4,0,0,0,13,0,48.76588817929432
6,1,1,0,10,1,48.02907617788505
7,0,1,0,14,0,47.31311340974869
7,0,1,0,10,0,46.32817699347198
8,1,0,1,12,1,47.15388924048116
5,1,0,0,6,0,47.1686354607642
1,0,1,0,7,0,50.86879181906068
5,1,1,1,13,0,48.47259499218403
12,1,0,1,10,1,44.99455658683545
0,1,0,1,14,0,49.86908074502051
4,0,0,0,12,0,48.526686076771846
7,1,0,0,9,0,44.53504014168681
7,2,0,0,14,1,48.69826286731766
6,0,0,1,14,1,49.35599832536515
7,1,1,0,13,1,48.04942951831289
8,1,0,0,11,1,45.65153362332835
3,1,0,0,10,1,49.238295407987
5,0,0,0,12,0,45.750995197379446
8,1,0,0,14,1,47.04062625605084
4,0,1,0,7,0,49.69639213762635
6,0,1,0,13,1,49.56312938019122
6,0,0,0,12,0,45.8277307064004
3,1,0,0,13,0,45.34189108388095
2,0,1,1,11,0,51.24901680052828
6,0,0,0,13,1,50.08679180465081
8,1,1,1,14,1,48.01324495507266
5,1,0,0,10,0,46.08982730699233
5,1,0,0,7,0,46.92437120455494
6,0,0,0,11,1,49.50068964050624
6,0,0,1,15,1,49.53833492746115
6,0,1,0,12,0,45.7310230762033
6,2,1,1,11,1,49.48032218512688
6,1,0,0,8,0,44.7552769954338
7,1,1,1,9,0,45.04276843742005
6,1,1,0,10,0,47.80288116199408
6,0,0,1,14,1,49.9374221389192
7,1,0,0,14,0,44.71243324798614
6,0,0,1,11,0,46.5246691287464
2,0,1,1,11,0,51.129666922309625
8,0,1,0,10,0,45.68196703931499
6,1,0,0,9,0,45.429696657134656
5,0,0,1,13,1,48.49205923043618
5,1,0,1,10,0,46.96359009840375
5,0,1,1,11,0,48.85362775036536
8,0,1,1,15,1,49.321662116090494
5,1,1,0,9,0,47.17329136261616
6,1,0,0,13,1,49.421050281109615
6,2,1,0,12,1,46.66943123256368
7,0,0,0,11,1,48.6407805274053
7,1,0,0,14,1,48.12024176662011
3,1,0,1,8,0,48.14248798365925
3,1,1,1,11,0,49.19276036669794
5,0,1,0,14,0,48.58924886245413
4,1,0,0,12,0,46.25464959064815
7,0,0,0,11,0,46.8066206197592
6,1,1,0,13,1,48.42201623158328
8,2,1,0,12,1,45.40533910194604
6,0,0,1,8,0,48.15755758310762
5,0,0,1,12,1,48.85062728029251
6,1,0,0,9,0,45.76186532868506
6,0,1,1,10,0,47.10355224855247
5,1,1,1,10,0,47.74842734591605
0,0,1,1,13,0,50.81508033278748
4,0,0,0,6,0,46.89579799562859
8,0,0,0,14,1,48.46181306869178
6,1,0,0,12,0,46.47048546461264
4,1,1,0,14,1,49.39502291442285
5,0,0,0,10,0,46.96081701846714
6,1,0,1,10,0,45.17737244427944
4,0,1,1,12,1,51.470924141854034
3,0,1,0,10,0,49.6475754236928
6,1,0,0,12,1,49.31431462488169
3,0,0,0,9,0,48.46766591714903
3,1,1,0,8,0,49.0004521336745
4,0,1,0,12,0,48.91253738340407
6,1,1,1,14,1,47.72089412241869
7,1,0,0,9,0,44.404131069878176
6,1,0,0,11,1,47.5120743695536
3,1,1,1,15,1,51.30720352261728
5,1,1,1,9,0,47.52926691865406
4,0,1,1,13,1,51.10694357165909
6,3,1,1,14,1,47.5577448173914
5,0,0,1,14,1,49.5468818769919
4,1,1,0,10,1,49.36035964765208
5,2,0,0,9,0,47.21006570200364
9,0,0,0,10,0,43.40303236289717
6,0,1,0,14,0,47.99250039524111
5,1,1,0,15,1,49.02688307835559
8,1,1,0,12,0,46.04344398978508
2,0,0,0,14,1,50.68311489426704
5,1,1,0,13,0,45.7648956277303
5,2,1,0,11,0,46.99523051851129
8,0,0,0,14,1,47.085839718732345
8,0,0,1,9,0,44.45986134392846
5,0,0,0,12,0,46.496117629197
6,0,0,1,16,1,49.45463620214076
4,0,0,1,14,1,52.25786067030791
6,1,1,1,15,1,48.17785933458576
6,1,0,1,13,1,48.216924444989104
7,0,1,1,13,1,48.11097615513433
5,0,0,0,9,0,45.814219803936325
9,0,0,1,10,1,48.03197527963187
5,1,1,1,12,0,48.36453867055359
8,1,0,1,12,1,47.38409847200172
4,0,0,1,12,1,52.77228039352526
4,1,1,0,11,0,46.91414597028254
2,0,1,0,10,0,49.428450107566256
7,2,0,1,10,1,48.4590949818131
5,0,0,0,12,1,49.58449959573862
4,1,0,0,15,1,49.43375712319248
6,2,1,0,12,1,48.53989704958835
6,2,0,0,10,0,43.36580503374756
7,0,0,0,7,0,45.06356161367904
8,1,0,0,12,0,42.394879569389786
5,0,1,1,13,1,50.29835234488218
6,1,0,0,17,1,45.35438787384534
3,2,0,1,12,1,48.05769554180053
6,1,0,1,8,0,47.16731184133442
4,1,0,0,13,1,49.155257513840176
6,1,1,0,13,1,48.24549983415669
3,1,1,0,6,0,48.81387394560288
3,0,1,0,11,0,51.18226187178637
5,0,1,0,7,0,48.71758342054063
5,1,0,1,10,0,47.67822357033609
8,0,1,1,10,0,47.56487194466309
6,0,0,1,9,1,49.16731571957035
9,1,0,0,12,1,45.99924783817066
5,1,0,0,13,1,47.24791783708116
6,1,1,0,13,0,45.67509278231626
5,2,1,0,14,0,45.03768327724464
8,0,0,1,10,1,47.16806466393524
5,0,0,1,15,1,50.33410991194084
8,0,1,0,12,1,48.87819182514864
8,0,0,0,11,1,48.32191968218081
7,1,0,0,11,1,46.44486767180983
6,0,1,0,11,0,47.63489617850759
3,0,0,0,11,0,48.87836952292746
6,2,1,0,11,1,46.34877099573887
5,1,1,1,14,0,47.42749625749655
6,0,1,1,9,0,47.71782009450055
3,2,1,0,14,1,49.7234070298821
9,1,1,1,10,0,46.38974228629
3,0,1,0,14,1,53.45925831840595
5,1,0,0,11,0,46.39649916429565
6,0,0,0,12,1,50.18116993575919
7,0,0,0,8,0,43.35002942548255
9,2,0,0,11,1,43.15945993773546
6,1,0,1,11,0,46.658471201808176
6,1,1,1,14,1,49.98523203995142
