education_years,age_years,income_usd,health_score,gender,smoking_status,tv_hours_watched,anti_smoking_campaign_exposure,lung_cancer_risk
15,27,15,15,0,1,13,54,148.8223564452463
14,28,13,10,0,0,10,48,137.55051005408777
18,29,14,11,0,1,13,52,146.57195497029625
18,23,14,16,0,1,9,57,155.45385485679208
11,26,11,11,1,1,12,51,141.47988220026585
18,25,11,9,1,0,12,52,148.9342860417228
13,25,16,12,0,0,9,46,135.13533829358485
14,24,11,9,0,1,10,48,141.03374556662726
14,28,9,10,1,0,13,54,150.32362204201476
20,23,18,15,0,0,10,50,141.74244649247655
13,25,5,10,0,0,7,51,139.5410285647751
14,22,14,8,1,0,8,44,135.05387606584915
16,22,10,9,0,1,8,49,144.65355607059652
14,26,10,9,0,0,13,52,145.0772284263792
13,23,10,11,0,0,12,51,144.41459658446934
16,22,8,9,0,0,11,54,149.28678208738566
11,23,14,14,1,0,10,49,140.03460339329575
9,24,12,15,0,0,10,51,137.26232266247942
14,26,13,11,1,0,14,49,137.7823663194392
13,27,10,15,0,1,9,54,146.42553052284322
13,28,11,10,1,0,8,49,138.80472269533723
13,21,13,10,1,0,10,46,134.5485832207256
14,27,12,7,0,0,9,46,136.14602316885856
11,20,13,6,1,1,11,46,139.97609907502292
11,23,14,7,1,1,11,44,134.40026417299146
18,30,11,12,0,0,13,58,156.6270580327104
12,23,13,11,0,0,11,49,138.6488559558412
11,23,10,11,0,0,10,50,136.26050683963126
14,26,9,10,0,0,9,53,145.0257620540128
14,27,12,11,1,1,14,54,151.09544966309858
12,24,9,8,1,1,9,50,144.96109790936646
16,26,13,15,0,0,10,54,146.287281260173
17,20,13,16,0,0,12,51,140.77964525342054
17,25,10,10,0,1,11,51,144.03028102275317
15,28,14,11,0,0,11,51,147.0803010712208
14,22,8,12,1,0,14,56,152.40984947259997
13,26,11,10,1,0,12,51,144.85742925027208
13,26,16,13,0,0,9,50,142.18553214667745
14,23,11,5,0,1,11,49,146.08509196891336
17,25,8,9,1,1,10,52,148.5158281264187
17,26,16,11,0,1,6,48,143.19737435619686
13,23,10,8,0,0,13,47,135.75354666266793
12,22,13,12,0,0,9,46,132.2378346906411
14,22,12,5,0,0,10,45,137.56261200955802
18,25,9,10,1,1,6,54,154.61667113995566
15,26,11,13,1,0,11,53,146.65339740851448
13,27,11,13,1,1,10,55,150.57514718498825
15,27,12,6,0,0,9,48,144.08234713163216
17,24,10,4,1,1,9,45,136.5307939117458
16,22,12,10,0,1,12,53,148.3871507147546
15,24,12,13,0,1,10,52,146.28283326473863
14,27,14,10,0,1,10,54,154.0159678468629
12,29,14,6,0,0,15,48,143.69514258500027
16,24,10,5,0,1,11,50,147.32213725765456
17,22,8,13,0,0,10,54,141.64644492118288
17,24,11,9,0,0,10,50,143.18961005712956
17,24,7,13,0,0,8,56,148.50968784011792
18,27,13,9,1,1,10,52,154.52545848468446
15,20,12,6,1,0,12,46,140.1388094407518
13,25,8,14,1,1,12,59,154.41547452686575
14,23,10,7,0,0,11,46,135.69145131078264
11,28,12,9,0,0,10,48,138.91899667702432
18,25,11,1,0,0,9,43,136.14246129500506
15,26,9,7,0,0,13,51,147.05170076531368
14,25,9,5,0,0,7,44,130.75093192394692
14,25,12,5,1,0,13,47,143.300527794549
11,27,11,8,1,1,12,50,142.72963234690425
14,26,14,6,0,1,12,49,148.65098405078666
15,28,13,9,0,0,10,49,143.13524782244346
10,20,13,6,0,0,11,44,133.1178186343613
14,23,13,6,0,1,8,43,134.87031809406434
18,21,16,14,0,1,12,54,152.68928250776784
17,23,14,12,0,0,10,50,145.4165753556541
12,23,9,1,0,0,17,47,140.74228560047192
13,24,10,6,1,0,10,50,148.94216379125848
12,31,13,14,1,0,10,53,149.46963390177953
14,23,13,10,1,1,9,49,141.10166063479105
13,25,11,6,0,1,10,49,141.4555417270103
17,24,13,7,1,0,13,51,153.02687062675585
13,26,12,10,0,0,12,50,142.64685932107025
17,22,12,1,0,1,11,43,136.6935115389867
15,18,13,8,1,0,13,45,136.2447594514777
19,21,10,8,1,0,12,51,149.09077905768265
18,25,10,14,1,0,14,58,155.87375062140077
17,21,13,13,0,0,10,51,145.28954310276063
16,28,7,8,0,0,10,52,148.16382404452762
13,16,14,10,1,0,11,46,138.7499896802716
12,23,10,10,0,0,13,50,140.94342969639823
15,25,15,14,1,1,14,54,150.62674398173576
14,25,14,9,1,1,10,49,141.89211391269197
19,22,10,10,1,0,8,49,140.57290968208537
18,26,4,10,0,0,7,54,148.69104151712418
16,23,9,11,0,0,9,53,145.94259279526366
15,24,12,12,0,1,8,50,141.45881975701298
15,23,8,4,0,1,11,49,143.81356058750848
14,28,6,10,0,0,14,55,148.19551140764503
12,27,9,17,1,0,9,54,139.8508102832115
15,21,9,12,1,0,12,52,144.66863649684555
16,26,14,13,0,1,9,54,150.3479039990219
18,22,13,3,1,0,14,44,140.97177893689255
12,25,8,11,0,1,12,53,146.0948557345966
15,23,14,11,0,0,11,49,139.97202352584873
15,25,11,9,0,0,12,49,141.1109213002313
12,22,13,4,0,1,12,44,137.3062444720099
18,24,6,12,0,1,12,58,153.60046985731285
16,24,14,11,0,0,6,49,144.9706754263723
14,25,6,7,0,1,11,53,148.48474016075815
19,24,7,9,0,1,10,57,159.58554242048604
20,27,12,9,0,0,6,52,152.29095748383563
14,25,14,6,1,1,12,47,141.25329882057923
15,28,7,7,1,1,9,51,146.30433905595584
14,25,11,14,1,1,10,53,147.1797921348915
15,26,14,10,0,0,12,51,146.22457061394766
15,24,8,8,0,0,7,50,140.55482901424483
15,26,12,7,0,0,13,49,142.5169524282695
10,25,15,12,0,1,8,49,141.70530068926615
14,27,10,8,0,0,11,50,141.6391507470366
14,22,10,12,0,0,11,51,138.24240567419602
15,27,13,13,0,0,9,52,144.84775545000002
13,25,14,7,1,1,12,46,137.6308669554448
13,25,9,10,1,0,7,47,133.73937806136635
13,25,11,10,0,1,8,49,140.900248879159
14,25,12,11,0,1,9,51,141.18829537092293
15,23,9,10,1,0,9,52,148.04590222318942
13,23,9,11,0,0,13,53,144.56610074977678
18,24,12,5,1,1,11,48,146.05582583880127
16,28,13,7,1,1,11,49,146.25274551842426
16,23,10,10,0,1,8,52,145.72954814510948
17,23,13,8,1,1,11,49,148.6562175616397
17,28,10,12,0,0,13,58,158.89017367617794
17,24,9,6,0,0,8,48,143.66257475001942
17,26,12,13,0,0,7,55,151.12541343070498
14,22,13,11,1,1,10,49,140.31058530221648
13,28,15,10,1,0,12,48,140.28171186286136
15,27,10,5,1,1,11,48,141.10583870175452
14,28,12,7,0,0,14,51,146.83671265014704
16,20,11,12,1,1,11,50,143.4795475661937
14,23,10,11,0,1,8,50,143.09484343208493
15,25,14,8,1,0,10,45,134.69145098951617
15,21,9,10,0,0,13,51,140.10037072833578
16,28,11,9,1,0,11,52,151.50675394851933
12,24,11,6,0,0,10,46,134.95852779008692
14,22,11,5,1,1,9,46,141.8989400982535
11,25,12,8,1,1,8,45,135.59617814131838
13,20,13,11,1,0,6,46,136.63501398690212
12,28,13,12,1,1,8,52,149.1765640172599
10,27,10,13,0,0,12,52,141.61851178556796
14,28,13,10,1,0,12,50,140.98046188923857
14,21,12,7,1,1,10,46,138.95141407099646
14,26,14,10,0,0,13,52,149.7470506857324
16,28,8,6,0,0,9,52,148.11012390746075
17,22,13,13,1,0,9,50,142.24416860215683
15,26,8,15,0,0,10,56,146.3991659431692
17,27,12,9,1,1,6,47,139.0116526222704
16,22,12,9,0,1,10,48,142.18861449062464
14,25,15,10,1,1,8,48,143.17583880369332
15,28,12,8,0,0,9,47,136.7508926274888
14,25,12,12,1,0,8,50,145.0725176841296
18,23,6,11,1,0,9,54,145.7293527481122
17,26,11,15,0,1,11,58,154.0092493051276
17,19,11,3,1,1,14,46,144.55708131473216
10,25,12,9,1,0,11,45,131.1063922483083
12,27,9,9,1,0,9,49,140.22999783914375
11,21,12,9,0,1,12,49,142.6887821138871
14,23,16,14,1,1,10,49,141.21419280110075
14,27,10,11,1,0,13,52,145.13294360101096
18,23,15,12,0,0,12,50,143.12763110587343
13,22,11,10,0,0,8,49,140.1988947856402
15,23,14,12,0,1,11,53,150.07200997311494
16,22,15,8,1,1,6,46,139.86088927548698
14,26,11,7,1,1,13,49,141.993320536774
15,22,12,12,0,0,10,53,148.54186427307715
13,29,8,12,1,1,9,58,155.87670132725222
14,24,11,10,0,0,9,50,140.88388761676777
13,24,11,9,0,0,12,48,138.53877645688783
13,19,12,12,1,1,12,51,145.36087547818548
13,23,9,9,0,0,8,51,142.55477912470542
13,25,11,8,0,1,9,49,140.14654088093874
13,26,13,9,1,0,10,49,142.9572897790348
13,24,10,12,0,0,8,50,139.30050588119892
17,22,7,6,0,1,10,50,146.0786315237115
14,17,11,11,1,0,10,50,142.3000699834664
12,27,9,7,0,1,9,49,143.49928864122538
12,25,17,10,0,1,14,48,139.4478830088984
17,26,9,9,0,0,12,54,151.76911756627243
15,24,12,5,0,1,15,49,144.5085697371348
10,23,17,8,1,1,9,43,132.11616952505088
14,26,18,10,1,1,8,44,135.11816339721764
16,22,9,9,0,1,10,51,144.47753849018756
17,21,12,13,1,0,10,51,142.99879383772603
19,23,11,12,0,0,11,55,153.00320481181174
15,24,12,11,1,1,8,50,141.34524259498522
15,23,11,8,0,0,12,50,144.65435180336488
15,26,9,10,1,0,10,54,152.69487953929124
15,23,12,9,0,0,11,49,142.10365881821534
13,19,16,4,0,0,14,42,132.96873507248506
12,28,10,11,0,1,13,56,153.5357330787471
17,21,13,9,0,0,14,51,146.65035598646807
11,21,10,13,0,0,11,48,130.99537216348463
14,28,10,9,1,1,14,55,153.76772699867607
17,26,14,4,1,0,11,42,132.9082232947933
16,27,8,3,0,1,13,52,153.39483440304852
13,23,10,9,0,1,9,47,134.68740540115778
14,30,11,10,0,1,13,56,154.6033968076794
11,21,12,11,0,0,10,48,139.07439116948316
15,27,12,12,0,0,7,53,147.7244037892008
17,25,15,8,0,1,11,48,141.70779497426503
17,26,10,11,1,0,12,52,144.74734703620877
17,23,8,11,0,1,8,54,150.78242392028608
13,24,11,9,1,0,11,47,134.7175962472484
10,28,15,8,1,1,5,43,132.58777802264467
13,27,13,10,0,0,10,51,144.34759745075627
13,24,10,8,1,1,10,50,146.06152844539957
12,27,10,10,0,1,10,50,137.28272137480823
15,21,11,9,0,0,7,47,137.26099191524503
14,29,11,14,1,0,11,54,146.9280131086453
16,22,15,11,1,1,10,49,141.2214243493883
13,21,9,11,0,0,13,53,144.47735071181458
14,28,12,11,1,1,10,52,144.2191889851641
9,27,10,10,1,1,9,50,142.16224852388737
13,27,12,16,0,0,11,55,149.79812654294233
16,27,11,15,0,0,9,54,146.962953024413
12,27,15,13,0,0,13,52,142.8130922914921
16,25,16,9,1,1,10,48,146.31150091143115
15,24,9,6,1,0,9,47,138.08247446005998
18,26,10,12,1,0,9,51,145.0138129546303
13,24,17,9,1,0,10,43,130.96460187387083
12,22,15,8,1,0,11,42,129.9390320743295
11,23,8,9,0,1,10,52,144.84657032298455
16,25,8,4,0,0,9,47,140.00886121623472
14,21,11,14,0,1,11,56,150.66818432984533
11,29,8,8,0,1,7,52,145.09502340047612
16,19,13,7,1,0,10,46,138.9403476483028
12,27,8,10,1,0,11,50,138.77863664232726
11,21,13,9,1,0,15,46,132.12188697546475
14,26,13,7,1,0,13,46,140.72965384878665
14,27,11,13,1,0,8,52,143.87891616988824
10,25,11,9,0,1,11,47,134.49870884880534
12,26,12,9,0,1,10,50,145.9467459634947
16,21,13,13,1,1,7,51,146.1050420947905
11,24,14,9,0,0,14,47,136.82674259803787
17,20,13,5,0,1,13,46,140.16824818895194
16,29,9,11,0,0,12,56,154.02535484642513
15,26,10,13,0,0,10,55,150.63298502264234
13,23,12,10,0,0,10,50,143.70313240178191
18,27,13,11,1,0,13,54,151.1600978720778
15,24,9,13,0,1,8,54,149.00230487743508
16,26,14,5,0,0,7,44,140.14309545811972
16,25,8,7,1,0,14,52,145.8529635074037
17,21,14,13,0,0,14,54,150.86090837877367
15,27,11,8,1,0,12,48,139.92858666243674
15,23,11,13,0,0,10,53,147.5766667691267
14,20,8,10,1,0,9,50,142.85463696152206
13,25,14,6,0,0,10,46,138.99639671372623
19,27,10,11,0,1,8,54,151.02374777441605
15,21,7,9,0,1,10,52,146.2970839138715
13,26,14,12,1,0,14,49,138.72832176171298
11,23,10,7,0,1,14,52,149.2262919429347
17,26,16,8,0,0,10,49,144.98517479568147
15,22,14,8,0,1,11,48,143.65750046993105
19,23,12,15,1,1,10,58,159.7389824486612
19,28,8,11,1,1,12,58,158.34174279628044
15,19,11,10,1,0,12,50,142.35988426234556
14,28,12,6,0,0,11,48,142.80972584728647
18,25,11,12,0,0,7,51,145.24660754308155
14,25,9,13,1,0,13,53,144.62994669512975
14,28,11,14,0,0,10,54,145.97862303920388
12,23,8,8,0,1,9,49,137.6778885521304
16,27,15,12,0,0,11,50,143.7234351137187
16,20,15,9,0,0,11,47,137.7391610776164
11,22,11,13,0,1,14,55,148.02520545654667
16,26,8,9,0,0,12,54,149.3614229816404
16,16,10,7,0,1,11,51,148.63458779003705
12,30,10,8,1,0,12,48,138.2159080923585
12,20,11,12,0,0,8,48,136.17911498513735
12,23,12,15,0,0,12,51,138.26197595712534
14,22,14,10,0,0,13,48,138.6164508610327
15,26,12,15,0,0,11,57,152.7407767528704
15,27,10,10,0,0,11,52,147.80405534052844
18,21,10,6,0,0,10,46,138.2979889720334
17,21,15,7,1,0,11,46,143.72909662352745
14,26,9,9,1,0,10,50,141.31420361591069
16,27,10,14,0,1,12,58,153.33127867941522
16,22,13,5,0,0,8,43,134.4638856476385
15,24,10,7,0,0,9,47,141.22500120512382
10,22,9,5,0,1,9,46,137.71111450465435
15,21,10,6,0,0,11,47,139.48671941766472
16,23,15,13,0,1,15,54,151.25133994670296
12,24,14,4,0,1,16,47,140.955368775842
13,18,12,6,0,0,12,42,126.46621190792608
14,23,12,7,1,1,10,44,130.56643925592974
17,25,13,7,1,0,6,46,141.88573968057116
16,32,8,6,1,0,9,50,144.64752455625012
16,25,8,11,0,1,10,54,144.89549828204164
15,25,12,7,0,0,10,49,143.32745812746904
15,25,11,4,1,0,9,41,129.16986079384887
17,27,15,9,0,0,6,49,147.36955942641245
18,24,11,12,1,0,12,53,147.84420283680083
15,26,15,8,1,0,10,48,145.0719251456703
14,22,13,8,0,1,14,50,145.4721032924405
16,24,10,9,1,0,12,51,145.47831461823807
17,24,11,14,1,0,12,57,151.6243378457081
11,22,14,11,0,1,11,47,134.92712091099293
18,22,10,13,0,0,13,56,152.16362719431356
14,22,11,6,1,1,7,44,137.16725396723018
15,20,12,4,1,1,10,44,140.91686195867908
15,20,10,11,1,0,14,49,137.91515712940566
16,26,11,9,1,1,10,52,147.89976047943446
10,25,9,11,0,0,11,50,137.75258115541206
14,31,8,10,0,1,11,54,147.64612331708028
15,22,13,13,1,1,11,52,145.68999825137007
14,26,10,9,0,0,12,51,144.84405458185978
15,25,13,7,0,0,7,45,137.64033858922463
17,27,12,13,1,1,10,54,154.18427817798366
13,30,14,10,0,0,10,46,134.9279017561313
13,26,7,7,1,0,11,51,145.77288116184508
16,27,12,11,1,0,12,54,151.23544799485038
15,24,16,12,0,0,11,52,149.01837323468465
12,24,13,12,1,0,11,48,132.79974422199038
11,25,7,11,1,0,7,50,138.16015567691676
18,24,9,8,0,1,11,55,156.73788762837077
14,25,8,12,0,0,9,55,151.05830596620848
15,22,15,6,1,0,10,41,133.46865613731617
8,24,9,9,1,0,9,48,137.57390642065675
14,24,12,13,0,0,10,52,140.99864628494473
18,27,10,10,0,0,11,54,151.02013160971555
13,21,11,9,1,0,8,47,136.3446499893891
17,24,10,12,0,0,11,51,139.3216556775976
14,23,10,10,0,0,9,49,139.9928062277981
15,22,11,11,0,0,11,53,149.0064805755562
14,28,11,7,0,1,13,51,144.83533214478635
14,26,14,14,0,0,9,53,144.66898282591728
14,24,12,5,0,1,11,46,135.70166136415594
16,26,12,16,1,1,8,52,139.67746338494032
13,23,7,8,0,0,13,51,141.87111113237432
16,22,8,14,0,1,11,57,154.94940896852972
14,27,11,9,1,0,10,48,139.30941990213833
17,27,13,10,0,1,14,55,154.80214877164622
13,24,7,15,1,0,10,56,147.7974847294889
15,25,13,9,0,1,12,51,149.95013972150178
11,23,12,10,1,0,12,48,137.0809820625041
15,29,12,12,0,0,14,57,155.19862665874584
17,27,10,10,0,1,6,52,148.89584437410394
16,27,14,11,1,0,12,50,140.45584916706153
16,25,10,9,0,0,11,49,140.16980580189568
20,24,13,10,0,0,11,53,152.78768617937084
10,23,11,10,1,1,12,51,145.62989153805665
12,20,15,11,0,1,13,48,139.50048335314193
13,21,8,6,0,0,9,46,134.15397017008743
10,19,8,11,1,0,10,49,137.21771984813944
13,25,9,8,0,1,11,50,143.1709425859699
14,25,12,7,1,0,10,46,137.85416991453977
14,19,11,11,0,1,12,51,142.0193181101563
19,24,12,13,1,0,12,53,147.9286595272852
15,29,10,8,0,0,11,54,153.45119401641222
19,28,13,6,0,1,6,49,147.5139462466878
14,24,20,9,1,0,10,39,126.2980972500893
19,22,13,7,0,0,13,48,142.49689196208425
15,25,14,18,1,0,12,56,149.79560244658438
15,27,10,12,0,1,13,56,151.6220526301432
16,24,8,7,0,0,10,50,140.63074167592134
15,26,14,8,0,0,12,48,141.51458206612944
13,26,11,9,1,0,12,48,135.6197077197015
19,24,18,11,1,0,8,48,145.98073610055567
13,26,12,8,1,0,10,50,146.921391446583
15,23,11,8,1,0,8,45,134.7250263694471
13,25,7,13,1,1,14,58,155.26452549507118
17,28,12,10,1,0,11,51,146.9013144003131
13,20,11,6,1,1,13,48,140.47614117365163
14,28,10,9,0,1,11,54,149.0238076025658
14,23,13,10,1,1,11,51,146.06973144947946
13,28,9,9,1,1,10,50,140.65547923358596
11,29,11,9,1,0,10,50,143.6964012783499
14,25,15,8,1,0,9,45,138.2500466982346
15,24,15,6,1,1,9,41,129.31475299510453
15,23,12,11,0,0,11,50,142.76932094021248
18,29,13,5,0,0,12,50,150.22257430243397
19,21,15,13,1,0,9,46,133.93736847886342
15,23,9,13,1,1,11,58,154.2230806898456
16,23,13,9,0,0,13,48,141.044313384746
15,21,9,9,0,1,10,53,148.27317932107553
15,25,15,8,0,0,9,44,135.60068468440315
12,22,14,6,0,0,11,45,136.70862916538337
16,26,11,6,0,1,10,50,149.0957363639916
16,28,10,8,0,0,13,52,146.83627054780476
13,25,8,12,0,1,9,57,150.90910856536203
13,23,11,2,0,0,13,44,137.09236502184734
21,23,11,12,0,0,7,55,153.60282834391535
16,23,11,12,0,0,13,55,153.9639417600185
15,24,10,15,0,0,15,58,153.41584158194283
20,23,14,10,1,0,9,48,143.38594729176074
17,23,11,12,1,0,9,51,145.39507519957206
19,30,14,12,1,1,11,56,156.9988823062405
14,22,14,13,1,0,8,48,139.85802112068967
14,26,16,8,0,0,15,47,140.36555826393715
13,28,13,16,0,1,8,54,145.79194952933102
16,29,15,9,1,1,12,52,150.79131332174583
18,23,11,9,1,1,11,49,142.873835442381
14,25,12,10,0,1,12,51,143.54729643127246
16,26,9,13,1,1,10,54,148.11903115848773
15,23,13,11,0,1,8,50,143.0041960335457
17,24,7,13,1,1,15,59,157.6090173226082
16,30,7,10,0,1,11,58,155.32018880711146
12,24,8,13,0,1,8,53,142.41218279836087
16,20,13,11,0,1,13,54,152.9834111220527
15,21,8,15,1,0,13,56,146.79674119632702
15,22,11,7,0,0,14,49,139.17631457013616
15,27,16,13,0,0,9,49,139.30763760371764
16,23,14,5,1,1,11,43,133.55532370122756
11,21,12,13,1,0,10,48,132.67529980389634
12,24,13,11,0,1,8,49,138.26850078181522
14,25,12,13,1,0,12,53,148.28164096747662
17,20,10,9,0,0,12,51,147.26446472005009
14,22,13,13,1,1,9,49,139.73975000644134
12,22,13,12,0,1,7,48,136.90021602091676
17,30,15,5,0,0,10,46,141.94522051671262
17,24,12,11,0,0,7,49,140.96151016120402
13,20,15,9,1,0,13,46,137.67488606860033
14,22,7,7,1,1,9,48,141.3936118095665
18,27,17,13,0,1,7,50,144.59050084499157
14,27,11,8,1,1,11,50,144.72433271931214
21,27,17,11,0,0,13,53,155.99194214733566
